Parcella;superficie;VAE;Habitat;AR2;ARM;CRR;CV;ELEVMAX;ELEVMEAN;ELEVMIN;P10;P25;P50;P75;P80;P99;R1C;R2C;R3C;R4C;KURTO;SKEWN;LFCC;RMH;P99P75;P75P50;P50P25;STD;FCC;IQ;FR2;FRM;TR;TRANMINHT
AD5137;452,3893421;163,7;PRX;100;48,2897;0,39145;0,2826;31,3041;18,2157;9,7965;11,2992;13,858;17,7755;22,5297;23,1295;29,4867;401;93;3;0;2,0108;0,22;80,6841;0,56783;6,957;4,7542;3,9175;5,1481;100;8,6716;100;57,606;497;497
AD5148;452,3893421;490,3;PRM;100;72,5352;0,58463;0,4831;23,5746;14,8697;2,6176;2,7792;3,0847;18,3748;19,7137;20,0853;22,3945;429;130;9;0;2,1702;-0,9777;75,52817;0,77943;2,6808;1,3389;15,2901;7,1837;100;16,6291;100;92,0746;568;568
AD5149;452,3893421;332,7;AVE;100;60,8268;0,53783;0,3855;30,1519;19,0792;6,1938;7,4899;11,7534;22,5217;25,1166;25,4567;28,9141;373;123;12;0;1,6924;-0,5262;73,4252;0,74694;3,7975;2,5949;10,7683;7,3546;100;13,3632;100;78,8204;508;508
AD5150;452,3893421;356,7;PNM;100;48,1481;0,32497;0,4125;27,3395;12,7416;5,714;6,3854;7,2614;12,4816;16,1792;17,4429;25,2609;381;118;13;1;2,3431;0,4708;74,26901;0,45654;9,0817;3,6976;5,2202;5,2565;100;8,9178;100;55,643;513;513
AD5151;452,3893421;213,8;PNM;100;44,1617;0,38258;0,2174;20,7668;13,2551;8,6006;9,8011;10,9814;12,505;15,5146;16,0843;19,7169;509;155;4;0;2,2443;0,4725;76,1976;0,60216;4,2023;3,0096;1,5236;2,881;100;4,5331;100;56,1886;668;668
AD6131;452,3893421;277,3;PRX;100;55,5707;0,54974;0,3801;25,9543;15,453;2,6313;6,7964;10,9019;16,4384;20,0442;21,028;25,119;497;204;32;3;2,0187;-0,3092;67,52717;0,63336;5,0748;3,6058;5,5365;5,8732;100;9,1423;100;73,6419;736;736
AD6132;452,3893421;317,7;PRX;100;56,2212;0,47024;0,3512;27,5898;16,8776;7,3689;8,2801;11,0835;18,3361;21,8992;22,5785;26,7006;551;259;55;3;1,694;-0,2376;63,47926;0,6646;4,8014;3,5631;7,2526;5,9281;100;10,8157;100;74,9546;868;868
AD6144;452,3893421;144,8;PNX;100;36,8421;0,24294;0,3109;18,0149;9,6532;6,97;7,234;7,4437;7,7498;11,5523;12,6072;17,2611;277;63;2;0;2,8822;1,1009;80,99415;0,43019;5,7088;3,8025;0,3061;3,001;100;4,1086;100;41,5162;342;342
AD6145;452,3893421;331,3;PNM;100;52,2876;0,35668;0,3805;19,317;10,5732;5,7253;5,9909;6,1841;10,9799;13,9715;14,7892;18,383;591;270;55;2;1,6118;0,1776;64,37908;0,56841;4,4115;2,9916;4,7958;4,0229;100;7,7874;100;73,4349;918;918
AD6146;452,3893421;146,7;PRM;100;45,7364;0,38312;0,2734;27,6071;16,4956;9,5948;11,1257;12,2408;15,5936;19,8588;20,9878;26,5981;288;96;3;0;2,103;0,4145;74,4186;0,56484;6,7393;4,2652;3,3528;4,5093;100;7,618;100;56,25;387;387
AD6147;452,3893421;195,4;CAR;100;48;0,43228;0,2918;23,2947;14,5356;7,8662;9,348;10,7365;13,8193;18,631;19,1091;22,6948;354;70;1;0;1,5991;0,1798;83,29412;0,59324;4,0638;4,8117;3,0828;4,2414;100;7,8945;100;56,4972;425;425
AD6158;452,3893421;381,6;PNM;100;61,7111;0,47045;0,3779;24,3499;15,2285;7,1251;7,512;7,7882;17,7379;20,0563;20,4847;23,5032;505;193;15;0;1,4365;-0,3834;70,82749;0,72846;3,4469;2,3184;9,9497;5,7551;100;12,2681;100;84,9505;713;713
AD6159;1256,637061;196,6;PRM;100;51,9747;0,40947;0,553;28,2988;13,1746;2,6875;4,4369;5,2266;13,875;19,7471;20,6526;26,1929;404;195;32;2;1,5413;0,0851;63,82306;0,4903;6,4458;5,8721;8,6484;7,2856;100;14,5205;100;67,5743;633;633
AD6160;452,3893421;278,1;PRM;100;52,3179;0,39986;0,3513;31,5669;17,4774;8,0898;8,6789;12,0836;17,7744;21,9681;23,0806;29,6444;317;124;11;1;1,9869;0,0017;69,97792;0,56307;7,6763;4,1937;5,6908;6,1404;100;9,8845;100;65,6151;453;453
AD6161;452,3893421;79,1;BMF;100;45,8763;0,5311;0,2426;24,8157;16,1259;6,2834;11,7195;12,9006;15,234;19,6777;20,2735;23,4859;760;198;12;0;1,9066;0,1915;78,35052;0,61389;3,8082;4,4437;2,3334;3,9114;100;6,7771;100;52,5;970;970
AD6162;452,3893421;54,0;RMR;100;50,8015;0,44791;0,2209;17,7626;11,6178;6,6326;8,3479;9,3279;11,7224;13,6599;14,2295;16,771;615;191;5;0;1,9136;0,0995;75,83231;0,65995;3,1111;1,9375;2,3945;2,5663;100;4,332;100;63,7398;811;811
AD6167;452,3893421;323,2;PRX;100;57,6399;0,45311;0,4019;28,2982;16,2946;6,3495;6,8735;7,8948;17,7369;21,3566;22,4402;27,2409;475;166;19;1;1,7373;-0,2671;71,86082;0,62679;5,8843;3,6197;9,8421;6,5483;100;13,4618;100;70,3158;661;661
AD6168;452,3893421;401,6;AVE;100;63,6861;0,54133;0,3511;26,5387;17,084;5,9255;6,7397;12,0929;19,1869;21,7925;22,2605;25,2095;413;123;12;0;2,0184;-0,6378;75,36496;0,72298;3,417;2,6056;7,094;5,9978;100;9,6996;100;80,3874;548;548
AD6169;452,3893421;323,4;PRM;100;61,7725;0,50367;0,4557;26,9674;16,463;5,8031;6,5237;6,7555;20,2138;22,7322;23,1794;26,1373;563;184;9;0;1,3839;-0,4072;74,4709;0,74956;3,4051;2,5184;13,4583;7,5027;100;15,9767;100;79,929;756;756
AD6170;452,3893421;251,9;PRM;100;63,0807;0,54177;0,3476;27,6655;18,4083;7,4635;8,8548;9,7673;20,8;23,3842;24,0502;27,123;543;237;36;2;1,7384;-0,5338;66,38142;0,75184;3,7388;2,5842;11,0327;6,3989;100;13,6169;100;84,8987;818;818
AD6171;530,9291585;288,4;PRM;100;58,1781;0,52447;0,3205;17,4136;11,2268;4,4033;5,4064;8,1665;12,1703;14,2379;14,4957;16,708;386;93;4;0;1,957;-0,4968;79,91718;0,6989;2,4701;2,0676;4,0038;3,5985;100;6,0714;100;72,5389;483;483
AD6172;452,3893421;362,9;PRX;100;62,6911;0,61882;0,2749;22,563;16,2038;5,88;8,8486;13,1137;17,7461;19,656;20,1408;22,1485;276;50;1;0;2,2659;-0,7289;84,40367;0,78651;2,4925;1,9099;4,6324;4,4546;100;6,5423;100;73,5507;327;327
AD6173;452,3893421;315,1;PRM;100;68,652;0,56725;0,4056;22,3114;14,6287;4,558;5,2193;6,8088;17,6102;19,0321;19,2858;21,3208;443;185;10;0;1,7876;-0,7453;69,43574;0,78929;2,2887;1,4219;10,8014;5,9331;100;12,2233;100;95,9368;638;638
AD6174;452,3893421;389,2;PRM;100;64,521;0,51076;0,3819;21,5726;13,5935;5,2634;5,6377;6,6499;15,7907;17,6105;17,9762;20,6232;464;190;14;0;1,7075;-0,5637;69,46108;0,73198;3,0127;1,8198;9,1408;5,1916;100;10,9606;100;90,0862;668;668
AD6175;452,3893421;178,0;PRX;100;52,6882;0,45296;0,2657;20,0487;13,2927;7,6987;8,6254;9,5074;13,6123;16,4697;16,8329;19,8829;484;158;9;0;1,6431;-0,0156;74,34716;0,67896;3,4132;2,8574;4,1049;3,5325;100;6,9623;100;68,3884;651;651
AD6176;452,3893421;221,6;PNX;100;54,6042;0,41685;0,299;22,1318;13,6419;7,573;8,2692;8,7439;14,3386;16,7407;17,2519;21,6899;441;163;15;0;1,8267;0,0123;71,24394;0,64787;4,9492;2,4021;5,5947;4,0792;100;7,9968;100;71,4286;619;619
AD6177;452,3893421;382,6;PRM;100;68,2336;0,58036;0,3328;24,5585;17,3178;7,304;7,9724;8,6711;19,8834;21,6259;21,8802;24,1173;484;195;23;0;1,9815;-0,8162;68,94587;0,80963;2,4914;1,7425;11,2123;5,7633;100;12,9548;100;94,0083;702;702
AD6178;530,9291585;229,7;PRX;100;60,7963;0,53492;0,3767;23,2688;14,3617;4,1172;6,0334;8,8494;16,2388;18,8458;19,2299;22,3951;468;161;24;0;1,7648;-0,4989;71,66922;0,69788;3,5493;2,607;7,3894;5,4101;100;9,9965;100;78,6325;653;653
AD6179;452,3893421;135,7;BMQ;100;49,4565;0,46749;0,2608;20,1229;12,7516;6,2804;8,1764;9,9377;12,7022;15,4846;15,9129;19,3553;407;141;4;0;2,0543;0,0273;73,73188;0,63123;3,8707;2,7824;2,7645;3,3253;100;5,5469;100;66,3391;552;552
AD6180;452,3893421;35,7;BMQ;100;46,2366;0,40812;0,2557;20,3406;12,516;7,1206;8,3122;9,9234;12,1229;15,2541;16,0661;19,41;306;64;2;0;2,0593;0,2647;82,25806;0,596;4,1559;3,1312;2,1995;3,1998;100;5,3307;100;52,2876;372;372
AD6181;452,3893421;291,5;PRM;100;66,9202;0,56467;0,3649;20,2589;13,7054;5,2047;5,5511;9,8901;15,6688;17,2497;17,7071;20,1379;203;57;3;0;2,0319;-0,7676;77,18631;0,77343;2,8882;1,5809;5,7787;5,001;100;7,3596;100;85,7143;263;263
AD6182;452,3893421;147,3;PRX;100;54,1284;0,42654;0,2842;21,7821;13,3481;7,075;8,0259;9,8334;13,8499;16,3794;16,9241;20,899;530;208;24;1;1,844;-0,059;69,46265;0,63584;4,5196;2,5295;4,0165;3,7938;100;6,546;100;73,2075;763;763
AD6183;907,9202769;182,8;PNX;100;52,2757;0,37324;0,3893;23,2727;12,6289;6,2905;6,7204;7,2091;13,0297;17,103;17,6656;21,6851;554;191;24;0;1,5609;0,1056;72,04161;0,55987;4,5821;4,0733;5,8206;4,9166;100;9,8939;100;67,3285;769;769
AD6184;380,1327111;85,5;RMR;100;55,8011;0,53212;0,2021;19,5065;14,0711;7,8895;9,6287;11,8731;14,6066;16,3681;16,6832;18,7908;516;196;12;0;2,0224;-0,3579;71,27072;0,74881;2,4227;1,7615;2,7335;2,8436;100;4,4951;100;76,5504;724;724
AD6185;452,3893421;59,7;CAR;100;47,8469;0,44031;0,2175;22,3286;14,3007;7,9851;10,2133;12,1602;14,1407;16,421;17,1117;21,2067;480;145;2;0;2,4974;0,187;76,55502;0,6333;4,7857;2,2803;1,9805;3,1111;100;4,2607;100;58,5417;627;627
AD6186;452,3893421;166,8;PRX;100;54,188;0,42808;0,3875;18,1178;10,2249;4,317;5,368;6,0039;11,0822;13,6112;14,2921;16,6962;439;144;2;0;1,4732;-0,0066;75,04274;0,61167;3,085;2,529;5,0783;3,9618;100;7,6073;100;70,8428;585;585
AD6187;452,3893421;203,4;PRX;100;61,4836;0,48228;0,5244;17,8021;10,3028;3,3168;3,446;3,5647;13,2997;14,8354;15,1563;16,9137;483;211;7;0;1,2873;-0,3837;68,90157;0,74709;2,0783;1,5357;9,735;5,4023;100;11,2708;100;87,3706;701;701
AD6188;452,3893421;239,9;PNM;100;50,3861;0,40589;0,5094;18,9888;10,0407;3,9274;4,225;4,4341;10,1658;15,1395;15,5595;17,791;362;149;7;0;1,3046;0,0415;69,88417;0,53536;2,6515;4,9737;5,7317;5,1152;100;10,7054;100;67,9558;518;518
AD6189;452,3893421;332,0;PNM;100;51,257;0,35188;0,4409;13,6763;6,8008;3,0679;3,5377;3,7989;6,9803;9,3132;9,8816;13,0248;506;206;4;0;1,6323;0,269;70,67039;0,51039;3,7116;2,3329;3,1814;2,9988;100;5,5143;100;72,1344;716;716
AD6190;452,3893421;304,4;PNX;100;59,0136;0,44927;0,4765;25,5924;14,1218;4,7643;5,5583;6,19;16,7952;20,1533;20,561;23,7236;408;158;22;0;1,3418;-0,245;69,38776;0,65626;3,5703;3,3581;10,6052;6,7296;100;13,9633;100;77,9412;588;588
AD6191;2827,433388;34,1;PRX;100;31,3808;0,33547;0,3037;21,5906;11,8504;6,9333;8,5498;9,3199;10,4482;14,0695;16,0563;20,806;218;21;0;0;2,8379;1,0464;91,21339;0,48392;6,7365;3,6213;1,1283;3,5995;100;4,7496;100;32,5688;239;239
AD6192;452,3893421;239,8;PRX;100;50,5263;0,33742;0,4916;16,3396;7,4515;2,9252;3,2778;3,5902;7,5177;10,4347;10,9526;15,4452;482;248;29;1;1,8923;0,3465;63,42105;0,46009;5,0105;2,917;3,9275;3,6635;100;6,8445;100;70,9544;760;760
AD6193;452,3893421;254,2;PNX;100;53,2847;0,4099;0,5433;21,7932;11,188;3,8213;4,1641;4,2584;12,0189;17,0107;17,531;20,5985;391;140;17;0;1,3549;-0,0004;71,35036;0,5515;3,5878;4,9918;7,7605;6,0789;100;12,7523;100;70,844;548;548
AD7108;1256,637061;53,9;CAR;100;41,7989;0,41312;0,2516;18,4064;10,6271;5,1511;7,0888;9,0433;10,1438;12,1183;12,7729;18,0007;484;82;1;0;3,3558;0,6355;85,36155;0,5511;5,8824;1,9745;1,1005;2,6743;100;3,075;100;48,1405;567;567
AD7119;530,9291585;141,9;RMR;100;58,5535;0,56079;0,3663;26,8148;16,8303;4,0817;6,3727;12,6447;18,4708;21,6123;22,4617;25,9976;996;408;34;0;2,2125;-0,5771;69,26287;0,68883;4,3853;3,1415;5,8261;6,1643;100;8,9676;100;72,2892;1438;1438
AD7120;615,7521601;284,1;PRM;100;67,9907;0,56212;0,4108;28,6979;18,8991;6,3201;6,9512;7,9143;22,5303;24,7603;25,2704;27,917;358;68;2;0;1,7516;-0,6934;83,64486;0,78509;3,1567;2,23;14,616;7,7636;100;16,8461;100;79,0503;428;428
AD7121;452,3893421;277,2;BMF;100;62,0521;0,47692;0,3322;25,4138;15,8446;7,1199;8,2631;8,9065;17,684;20,0644;20,5714;24,0481;441;159;14;0;1,6842;-0,4317;71,8241;0,69584;3,9837;2,3804;8,7775;5,2635;100;11,1578;100;81,4059;614;614
AD7128;452,3893421;254,7;PRM;100;71,6854;0,59565;0,3684;27,644;18,9704;6,1931;7,4018;9,0128;21,9788;24,0189;24,4881;27,028;341;102;2;0;2,0516;-0,8804;76,62921;0,79507;3,0091;2,0401;12,966;6,9894;100;15,0061;100;89,4428;445;445
AD7129;452,3893421;382,9;PRM;100;53,7791;0,44269;0,4172;33,1543;16,0338;2,4342;7,1993;9,4526;16,9857;21,7699;22,5313;27,7481;477;185;24;2;1,6985;-0,0057;69,3314;0,51232;5,9782;4,7842;7,5331;6,6898;100;12,3174;100;65,8281;688;688
AD7130;452,3893421;356,2;AVE;100;52,0619;0,36374;0,3791;30,3549;15,7144;7,3446;8,2934;9,2064;16,225;21,1732;21,8518;27,4501;552;199;25;0;1,6379;0,0866;71,13402;0,53451;6,2769;4,9482;7,0186;5,9572;100;11,9669;100;62,6812;776;776
AD7138;452,3893421;443,9;BMF;100;62,2101;0,52658;0,2955;26,7732;17,4506;7,0813;8,4464;14,5181;18,8276;21,1826;21,7452;25,5478;454;221;54;4;2,3025;-0,6336;61,93724;0,70323;4,3652;2,355;4,3095;5,1565;100;6,6646;100;87,8855;733;733
AD7139;452,3893421;536,5;AVE;100;54,8193;0,58355;0,2604;23,5076;15,1427;3,4213;9,9873;13,2074;15,4552;17,8715;18,4277;22,6117;405;84;9;0;3,751;-0,7546;81,3253;0,65746;4,7402;2,4163;2,2478;3,9428;100;4,6641;100;62,4691;498;498
AD7140;452,3893421;98,1;COR;88,1874;41,3442;0,48935;0,3856;17,4114;9,55;2,0164;4,3399;7,1316;9,2495;12,5029;12,9067;16,8038;362;68;3;0;2,2476;-0,004;73,72709;0,53123;4,3009;3,2534;2,1179;3,6821;86,19048;5,3713;96,0212;50,6631;491;433
AD7141;1017,87602;303,9;PRX;100;50,5155;0,40344;0,342;27,1172;15,8988;8,3119;9,1089;10,3182;16,1033;20,3815;20,92;26,6705;441;125;15;1;1,725;0,1602;75,7732;0,59384;6,289;4,2782;5,7851;5,4366;100;10,0633;100;63,0385;582;582
AD7142;530,9291585;171,2;PNX;100;44,27;0,40654;0,2495;27,1738;16,4395;9,0862;11,6881;13,1028;15,2795;19,5542;20,6112;25,9306;463;167;7;0;2,2218;0,5116;72,68446;0,56229;6,3764;4,2747;2,1767;4,102;100;6,4514;100;54,8596;637;637
AD7143;452,3893421;391,1;PNX;100;43,3836;0,34796;0,2706;29,0168;17,4257;11,2402;12,4053;13,3396;15,6895;21,2505;22,301;28,3073;416;146;35;0;2,1917;0,6445;69,68174;0,5407;7,0568;5,561;2,3499;4,7158;100;7,9109;100;48,7981;597;597
AD7152;804,2477193;233,8;PNX;100;50,6591;0,35601;0,4397;30,2355;14,2553;5,4213;6,4198;7,6477;14,3279;19,0787;20,4061;27,854;371;141;19;0;1,9447;0,2556;69,86817;0,47388;8,7753;4,7508;6,6802;6,2685;100;11,431;100;63,0728;531;531
AD7153;452,3893421;268,7;PNM;100;52,057;0,36778;0,397;26,0061;13,5329;6,2769;7,2056;7,9396;13,8984;17,5068;18,4177;24,6818;407;198;26;1;1,834;0,2656;64,39873;0,53443;7,175;3,6084;5,9588;5,3732;100;9,5672;100;71,4988;632;632
AD7154;615,7521601;173,7;PNM;100;40,5797;0,3483;0,385;21,6128;11,9127;6,7285;7,7006;8,2518;8,79;16,3707;17,4715;21,194;407;133;12;0;1,8007;0,6464;73,73188;0,4067;4,8233;7,5807;0,5382;4,586;100;8,119;100;49,6314;552;552
AD7155;452,3893421;199,9;VCB;100;55,0218;0,35981;0,4183;20,9205;10,2762;4,2938;5,1741;5,595;11,2253;13,4186;13,9874;19,2511;442;222;23;0;1,8142;0,1715;64,3377;0,53657;5,8325;2,1933;5,6303;4,2982;100;7,8236;100;80,7692;687;687
AD7156;452,3893421;358,6;PNM;100;47,9319;0,33385;0,5475;23,7814;10,0476;3,1647;4,0502;4,6415;9,7086;14,6021;15,9315;22,0936;281;115;15;0;1,8425;0,4024;68,36983;0,40824;7,4915;4,8935;5,0671;5,5011;100;9,9605;100;63,3452;411;411
AD7157;706,8583471;247,0;PNX;100;50,4828;0,41011;0,4111;19,5151;10,04;3,4526;5,07;6,0251;10,0908;13,7305;14,2698;18,2618;559;155;11;0;1,7449;0,1947;77,10345;0,51708;4,5313;3,6397;4,0657;4,1275;100;7,7053;100;59,034;725;725
AD7163;1256,637061;234,9;PNX;80,8383;40,1198;0,37917;0,6213;23,8535;10,2876;2,0024;3,0214;3,425;10,1426;15,33;16,517;23,1169;386;141;13;0;1,709;0,2466;57,78443;0,4252;7,7869;5,1874;6,7176;6,392;75,09727;11,905;84,2795;51,5284;668;540
AD7164;706,8583471;187,7;PNM;100;44,1227;0,28616;0,5376;18,8674;6,8696;2,0601;3,0272;3,8885;4,7654;10,0028;10,4797;15,3993;434;145;8;0;2,2315;0,627;73,93526;0,25257;5,3965;5,2374;0,8769;3,6928;100;6,1143;100;55,0691;587;587
AD7165;452,3893421;146,0;PNM;100;49,8525;0,45444;0,4045;18,0305;9,2985;2,0249;4,6501;5,716;9,2471;12,5928;13,1259;17,1403;451;206;20;1;1,7558;0,1351;66,51917;0,51286;4,5475;3,3457;3,5311;3,7616;100;6,8768;100;71,1752;678;678
AD7166;804,2477193;183,0;PNM;100;45,0835;0,41972;0,208;23,2834;15,7441;10,2908;11,7162;13,033;14,9854;18,566;19,2015;22,7848;362;166;11;0;1,9894;0,3348;67,16141;0,64361;4,2188;3,5806;1,9524;3,2744;100;5,5331;100;58,8398;539;539